Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
BUENOS AIRES;Bahía Blanca;Villa Bordeau;0;--;--;--;--;--;--;--;SI;SI;6056020.0;-38,6472605094596;-62,3200223419024
BUENOS AIRES;Bahía Blanca;Villa Espora;0;--;--;--;--;--;--;--;--;--;6056020.0;-38,7765069529222;-62,1851833537179
BUENOS AIRES;General Las Heras;Lozano;0;--;--;--;--;SI;--;--;--;--;6329020.0;-34,8542796259808;-59,0533451317779
BUENOS AIRES;General Lavalle;Chacras de San Clemente;0;--;--;--;--;--;SI;--;--;--;6336020.0;-36,4080851872455;-56,9433553335054
BUENOS AIRES;Tandil;Desvío Aguirre;0;--;--;--;SI;--;SI;--;SI;SI;6791050.0;-37,.35;-59,
BUENOS AIRES;Berisso;Los Talas;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,9190209219847;-57,7909954962894
BUENOS AIRES;Berisso;Villa Arguello;0;--;--;--;SI;--;SI;--;SI;SI;6098010.0;-34,9053981881099;-57,9180815078165
BUENOS AIRES;Berisso;Villa Dolores;0;--;--;--;--;--;--;--;SI;SI;6098010.0;-34,8802085383888;-57,8663036732616
BUENOS AIRES;Berisso;Villa Independencia;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,8829519743895;-57,8614892695719
BUENOS AIRES;Berisso;Villa Nueva;0;--;--;--;SI;--;SI;--;SI;SI;6098010.0;-34,8957079362353;-57,9108816644737
BUENOS AIRES;Berisso;Villa Porteña;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,891043310448;-57,8963773978494
BUENOS AIRES;Berisso;Villa Progreso;0;--;--;--;SI;--;SI;--;--;--;6098010.0;-34,9308766123633;-57,8468799885622
BUENOS AIRES;Berisso;Villa San Carlos;0;--;--;--;--;--;--;--;SI;SI;6098010.0;-34,8838130805;-57,87701595642
BUENOS AIRES;Berisso;Villa Zula;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,9221646298322;-57,8009664840662
